50;42972259;45705357;47674512;49547679;57755333;47888261;929367
100;85877309;88345443;89831326;91647941;110193010;90534690;1108752
150;126542704;127838796;129663613;132717583;138291205;130759226;849159
200;163076624;169231946;171284689;173014501;177875192;171042545;1003788
250;202760043;212712891;216424930;222157391;243168778;217828254;2127960
300;244925102;254847492;261454494;268472096;279746994;262023035;2473294
350;295270442;303466249;311341637;319395334;333577327;311815751;2871671
400;341138790;352799999;362377914;368274816;384423758;361844612;2798439
450;396709128;406946841;414903572;421594412;448577762;415427408;3346928
500;436940925;455844783;463249285;471076154;487311733;463060680;3505921
550;490942852;503270240;513216035;525717230;553667863;514508002;3871242
600;534018864;551909955;563407664;576517848;608233860;564258423;4708689
650;585511008;603485683;612588236;620917386;649830018;612712354;3755875
700;625806026;644548893;653980673;668725528;688883586;656102636;5037661
750;660155249;679620551;693767944;709739711;737548853;694983836;5521214
800;706846579;722188246;733573899;754445900;797507209;738714440;6181884
850;756893281;773948241;788668441;803770175;832249265;789954631;5736511
900;802499245;820658704;835403073;848752408;864517350;835618338;4730065
950;847020492;870432045;889375145;898214737;928178183;886081861;5345163
1000;894084162;917140730;929015152;933826580;961602850;927688230;4714804
