50;55192543;57460829;58720631;59471070;68356974;59104739;719930
100;112944771;116962912;117861099;118904107;124795567;118259015;615219
150;197336862;200525571;205128265;209809954;225915873;207242848;2129381
200;260795647;271667216;277632111;284376702;300601405;278976020;2332638
250;327968010;341060761;349715827;355444620;368655570;349381117;2711402
300;403260622;416040618;427751567;443155321;524093929;436648353;7841529
350;455973935;480969562;486255697;491892622;514066129;486514784;3087561
400;523391178;545019921;551934495;558768028;595911407;552970569;3985442
450;583940657;617119729;627036353;635250811;655591958;626617622;4611909
500;651924313;686916142;698362024;710417619;736700549;699362609;4297125
550;718410894;746477031;758306178;769407998;798066295;757779167;5100886
600;784048733;806062203;824597615;834223718;866035907;822537789;6077305
650;820801534;866889624;890863892;907769109;927715874;886504298;8091027
700;878869736;938875330;969254517;980259204;1003336163;959789010;8279975
750;947249238;990684606;1025992409;1054315713;1097805499;1023776953;10511749
800;1013643367;1060443277;1088546570;1112696087;1156581718;1086779670;9252808
850;1079448262;1132988082;1174349429;1190311404;1218065370;1162456069;10698345
900;1128981351;1179976115;1221295916;1252696169;1273740652;1214642477;11873606
950;1213440441;1291227789;1314440792;1330603470;1356654685;1305970559;10281130
1000;1265263467;1321908614;1374805076;1412596204;1446151226;1368249384;14828493
