50;213288022;221332661;224869330;226740501;292880519;226981248;3394698
100;428366753;440645131;447250470;452626290;469420849;447253237;2502077
150;685240575;696427369;707731163;712835213;734419362;706963941;3174182
200;926724655;960090857;974751099;985512590;1008813961;971116232;5485152
250;1181356193;1199890144;1230271423;1254058035;1435951193;1232944413;11502559
300;1404383088;1451900893;1475425591;1494546592;1530113206;1475832510;8629307
350;1643973007;1702753553;1723329453;1744498971;1772843227;1720735815;8429278
400;1883990693;1926251730;1961868018;1998996267;2028847559;1960663941;11520331
450;2093457553;2160674377;2196177360;2237898969;2337703230;2200014926;13484216
500;2351931190;2403737744;2440280586;2493890164;2675840385;2451017238;17919723
550;2620308321;2741547299;2778395572;2804673658;3167646315;2775641001;24014167
600;2822565959;2984355731;3011144099;3041297126;3117151797;3007385484;17716813
650;3096633370;3206939671;3257238779;3297084291;3555764011;3251618903;24112459
700;3353953023;3509161265;3549487091;3584125098;3788453833;3545014072;23459360
750;3593827025;3725989652;3790618529;3834291360;3942594712;3784587299;22531680
800;3994363498;4096651433;4161083259;4201211211;4329658181;4156200037;22852870
850;4245739166;4390972894;4467851413;4545305899;4871212706;4478115175;38396394
900;4534080926;4728535725;4784857228;4865421026;5009165781;4799001858;29669971
950;4882368300;5107065209;5150676462;5217475373;5564924455;5155846903;36288606
1000;5353426320;5517819639;5568789133;5648063473;5825645303;5572898368;27980146
